ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
45,43,4.755493,-74.01799,PM10,g/h,0,0,0,0,0,0,0,107074.94963,107074.94963,107074.94963,107074.94963,107074.94963,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,4.701714,-74.044975,PM10,g/h,0,0,0,0,0,0,0,17180.7743419,17180.7743419,17180.7743419,17180.7743419,17180.7743419,0,0,0,0,0,0,0,0,0,0,0,0,0
23,28,4.558266,-74.152908,PM10,g/h,0,0,0,0,0,0,0,120577.214304,120577.214304,120577.214304,120577.214304,120577.214304,0,0,0,0,0,0,0,0,0,0,0,0,0
19,33,4.5224,-74.107941,PM10,g/h,0,0,0,0,0,0,0,181581.947661,181581.947661,181581.947661,181581.947661,181581.947661,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,4.728607,-74.01799,PM10,g/h,0,0,0,0,0,0,0,53184.195,53184.195,53184.195,53184.195,53184.195,0,0,0,0,0,0,0,0,0,0,0,0,0
19,32,4.5224,-74.116936,PM10,g/h,0,0,0,0,0,0,0,64741.032,64741.032,64741.032,64741.032,64741.032,0,0,0,0,0,0,0,0,0,0,0,0,0
21,29,4.540337,-74.143913,PM10,g/h,0,0,0,0,0,0,0,1550.3867856,1550.3867856,1550.3867856,1550.3867856,1550.3867856,0,0,0,0,0,0,0,0,0,0,0,0,0
20,29,4.531372,-74.143913,PM10,g/h,0,0,0,0,0,0,0,4034.073456,4034.073456,4034.073456,4034.073456,4034.073456,0,0,0,0,0,0,0,0,0,0,0,0,0
20,33,4.531372,-74.107941,PM10,g/h,0,0,0,0,0,0,0,28984.855968,28984.855968,28984.855968,28984.855968,28984.855968,0,0,0,0,0,0,0,0,0,0,0,0,0
18,33,4.513443,-74.107941,PM10,g/h,0,0,0,0,0,0,0,5319.13946688,5319.13946688,5319.13946688,5319.13946688,5319.13946688,0,0,0,0,0,0,0,0,0,0,0,0,0
17,31,4.504471,-74.125923,PM10,g/h,0,0,0,0,0,0,0,175496.025762,175496.025762,175496.025762,175496.025762,175496.025762,0,0,0,0,0,0,0,0,0,0,0,0,0
