ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537182010759,0.537182010759,0.537182010759,0.537182010759,0.537182010759,0.0,0.537182010759,0.537182010759,0.537182010759,0.537182010759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577505536339,0.0577505536339,0.0577505536339,0.0577505536339,0.0577505536339,0.0,0.0577505536339,0.0577505536339,0.0577505536339,0.0577505536339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00521138881363,0.00521138881363,0.00521138881363,0.00521138881363,0.00521138881363,0.0,0.00521138881363,0.00521138881363,0.00521138881363,0.00521138881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178794763818,0.0178794763818,0.0178794763818,0.0178794763818,0.0178794763818,0.0,0.0178794763818,0.0178794763818,0.0178794763818,0.0178794763818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.116936,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194485779835,0.194485779835,0.194485779835,0.194485779835,0.194485779835,0.0,0.194485779835,0.194485779835,0.194485779835,0.194485779835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548769006586,0.548769006586,0.548769006586,0.548769006586,0.548769006586,0.0,0.548769006586,0.548769006586,0.548769006586,0.548769006586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135599229026,0.0135599229026,0.0135599229026,0.0135599229026,0.0135599229026,0.0,0.0135599229026,0.0135599229026,0.0135599229026,0.0135599229026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974281744138,0.0974281744138,0.0974281744138,0.0974281744138,0.0974281744138,0.0,0.0974281744138,0.0974281744138,0.0974281744138,0.0974281744138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159768377487,0.159768377487,0.159768377487,0.159768377487,0.159768377487,0.0,0.159768377487,0.159768377487,0.159768377487,0.159768377487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405301923132,0.405301923132,0.405301923132,0.405301923132,0.405301923132,0.0,0.405301923132,0.405301923132,0.405301923132,0.405301923132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327749511675,0.327749511675,0.327749511675,0.327749511675,0.327749511675,0.0,0.327749511675,0.327749511675,0.327749511675,0.327749511675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
